,product_category,product_subcategory,brand,assembly_service_requested,payment_method,product_price,shipping_cost,assembly_cost,delivery_window_days,customer_rating,payment_timing,delivery_status
1170,Outdoor,Seating,Premium,True,Bank Transfer,728.48,139.58,66.14,2,2.2,Prepaid,Failed Delivery
1639,Living Room,Seating,Affordable,False,Bank Transfer,1849.3,73.38,0.0,12,3.7,Prepaid,On Going
742,Bedroom,Storage,Premium,True,Digital Wallet,1342.48,88.9,93.52,5,3.8,Prepaid,On Going
479,Office,Storage,Premium,True,Cash,969.56,0.0,50.18,13,2.8,Postpaid,Failed Delivery
1256,Kitchen,Table,Affordable,False,Digital Wallet,1683.56,89.55,0.0,10,1.1,Prepaid,Delivered
1220,Outdoor,Seating,Premium,True,Digital Wallet,628.07,0.0,58.16,2,3.5,Prepaid,Failed Delivery
1173,Bedroom,Storage,Premium,True,Digital Wallet,2979.13,0.0,62.27,4,4.2,Prepaid,On Going
713,Living Room,Seating,Mid Range,False,Digital Wallet,320.07,88.74,0.0,2,2.6,Prepaid,Failed Delivery
142,Dining Room,Seating,Premium,True,Card,183.23,39.96,193.34,9,4.3,Prepaid,Delivered
626,Kitchen,Storage,Mid Range,True,Digital Wallet,1297.18,0.0,81.51,13,1.0,Prepaid,Failed Delivery
1686,Bedroom,Sleeping,Affordable,False,Digital Wallet,1441.62,63.67,0.0,13,4.9,Prepaid,On Going
961,Kitchen,Storage,Affordable,True,Cash,448.65,27.21,54.83,2,3.7,Postpaid,On Going
1441,Living Room,Table,Affordable,False,Card,1915.84,63.01,0.0,12,3.1,Prepaid,Failed Delivery
1353,Kitchen,Table,Premium,False,Digital Wallet,1815.87,0.0,0.0,11,2.9,Prepaid,Delivered
1865,Outdoor,Seating,Other,False,Bank Transfer,596.07,119.2,0.0,2,1.5,Prepaid,Failed Delivery
588,Living Room,Table,Mid Range,True,Bank Transfer,2073.52,0.0,65.37,4,3.1,Prepaid,Failed Delivery
1060,Dining Room,Seating,Affordable,True,Digital Wallet,987.0,0.0,271.38,8,3.8,Prepaid,Failed Delivery
615,Office,Storage,Affordable,True,Digital Wallet,1249.67,75.64,185.77,3,2.0,Prepaid,Failed Delivery
214,Kitchen,Storage,Affordable,True,Bank Transfer,418.13,73.85,160.52,10,2.6,Prepaid,On Going
1404,Kitchen,Table,Premium,False,Bank Transfer,2334.58,0.0,0.0,12,2.4,Prepaid,Failed Delivery
707,Outdoor,Patio furniture,Premium,False,Digital Wallet,1558.87,134.43,0.0,5,3.1,Prepaid,Failed Delivery
665,Bedroom,Storage,Premium,False,Cash,284.09,26.36,0.0,6,1.7,Postpaid,On Going
1860,Outdoor,Table,Affordable,True,Card,1376.74,149.88,77.36,2,1.0,Prepaid,Delivered
1892,Office,Work,Affordable,True,Digital Wallet,320.09,95.52,91.3,11,2.6,Prepaid,Failed Delivery
591,Kitchen,Table,Premium,False,Digital Wallet,706.52,59.08,0.0,10,1.6,Prepaid,Failed Delivery
870,Living Room,Table,Mid Range,True,Card,1573.35,80.91,31.01,2,3.3,Prepaid,Failed Delivery
1246,Kitchen,Table,Premium,True,Digital Wallet,1465.2,87.34,156.53,8,3.1,Prepaid,Delivered
1095,Outdoor,Patio furniture,Affordable,False,Cash,161.36,27.42,0.0,14,2.9,Postpaid,On Going
238,Office,Work,Premium,False,Card,357.08,53.8,0.0,7,2.7,Prepaid,Failed Delivery
30,Outdoor,Seating,Affordable,True,Card,1050.22,108.25,169.12,5,4.7,Prepaid,Delivered
610,Dining Room,Seating,Mid Range,False,Cash,190.31,99.72,0.0,13,4.0,Postpaid,Failed Delivery
368,Bedroom,Sleeping,Premium,True,Bank Transfer,1908.12,0.0,83.55,10,4.4,Prepaid,Failed Delivery
387,Kitchen,Table,Mid Range,True,Digital Wallet,2231.06,125.24,248.91,10,1.0,Prepaid,Failed Delivery
1636,Kitchen,Table,Premium,True,Bank Transfer,1904.21,0.0,190.23,6,3.1,Prepaid,Failed Delivery
1754,Living Room,Table,Other,False,Digital Wallet,603.66,144.53,0.0,4,2.8,Prepaid,On Going
1053,Living Room,Table,Affordable,True,Card,1667.27,137.72,183.73,11,4.5,Prepaid,Failed Delivery
814,Office,Work,Mid Range,False,Bank Transfer,570.15,146.8,0.0,8,2.0,Prepaid,Failed Delivery
490,Bedroom,Sleeping,Affordable,False,Cash,592.85,136.52,0.0,8,2.7,Postpaid,On Going
469,Bedroom,Sleeping,Affordable,False,Digital Wallet,2109.03,118.81,0.0,3,3.4,Prepaid,Failed Delivery
332,Living Room,Seating,Mid Range,False,Cash,2070.31,135.22,0.0,13,2.7,Postpaid,On Going
1828,Bedroom,Sleeping,Affordable,False,Bank Transfer,2495.87,112.8,0.0,12,4.0,Prepaid,Failed Delivery
676,Kitchen,Storage,Premium,False,Digital Wallet,770.22,81.23,0.0,13,1.1,Prepaid,Failed Delivery
208,Bedroom,Sleeping,Mid Range,False,Digital Wallet,2766.44,74.1,0.0,14,4.2,Prepaid,Delivered
1457,Bedroom,Storage,Other,True,Cash,1044.03,142.38,184.33,13,3.2,Postpaid,Failed Delivery
481,Kitchen,Storage,Affordable,True,Digital Wallet,1663.49,132.53,57.41,11,1.6,Prepaid,Failed Delivery
1895,Outdoor,Seating,Premium,True,Digital Wallet,746.65,0.0,150.06,8,4.9,Prepaid,On Going
1614,Kitchen,Storage,Mid Range,True,Digital Wallet,1527.67,113.53,229.37,11,2.9,Prepaid,On Going
888,Outdoor,Table,Affordable,True,Bank Transfer,173.41,92.24,279.65,2,3.7,Prepaid,Failed Delivery
666,Living Room,Storage,Premium,True,Card,1190.43,62.07,188.67,6,4.1,Prepaid,Delivered
27,Outdoor,Patio furniture,Affordable,True,Card,643.97,143.89,111.54,2,1.6,Prepaid,Failed Delivery
426,Bedroom,Storage,Affordable,False,Card,464.52,59.15,0.0,5,3.0,Prepaid,On Going
596,Kitchen,Storage,Premium,True,Card,939.3,68.88,290.86,6,5.0,Prepaid,Failed Delivery
1154,Kitchen,Storage,Affordable,False,Bank Transfer,2266.24,63.61,0.0,1,3.1,Prepaid,Failed Delivery
752,Office,Work,Affordable,True,Cash,1267.83,114.1,253.55,8,3.1,Postpaid,On Going
1179,Outdoor,Table,Mid Range,False,Digital Wallet,257.93,78.92,0.0,12,3.1,Prepaid,Failed Delivery
1657,Dining Room,Seating,Premium,False,Digital Wallet,1089.26,0.0,0.0,8,3.8,Prepaid,On Going
1654,Kitchen,Storage,Mid Range,True,Digital Wallet,1422.96,0.0,27.21,7,4.2,Prepaid,On Going
1568,Dining Room,Table,Mid Range,True,Digital Wallet,507.46,108.65,166.12,10,1.7,Prepaid,Failed Delivery
13,Living Room,Table,Premium,False,Card,2219.42,58.57,0.0,14,3.1,Prepaid,On Going
244,Living Room,Table,Premium,False,Card,2414.38,141.88,0.0,14,3.8,Prepaid,On Going
1863,Kitchen,Storage,Mid Range,False,Digital Wallet,971.2,129.78,0.0,3,1.1,Prepaid,On Going
54,Office,Work,Mid Range,True,Cash,187.91,76.8,42.43,5,3.4,Postpaid,Failed Delivery
444,Kitchen,Table,Mid Range,False,Cash,1528.53,124.61,0.0,11,3.7,Postpaid,On Going
1559,Living Room,Seating,Mid Range,True,Card,1290.91,59.37,69.01,2,2.6,Prepaid,Failed Delivery
629,Living Room,Seating,Affordable,False,Digital Wallet,1688.35,140.68,0.0,4,4.4,Prepaid,Failed Delivery
358,Dining Room,Seating,Mid Range,True,Card,515.05,103.05,41.72,8,3.6,Prepaid,On Going
55,Living Room,Storage,Mid Range,False,Digital Wallet,1425.31,56.9,0.0,1,4.3,Prepaid,Failed Delivery
1565,Living Room,Seating,Mid Range,True,Digital Wallet,226.72,67.06,171.35,6,2.0,Prepaid,Failed Delivery
636,Kitchen,Table,Affordable,False,Digital Wallet,872.64,143.03,0.0,3,3.1,Prepaid,Failed Delivery
1692,Office,Work,Premium,True,Digital Wallet,992.8,0.0,269.49,12,1.9,Prepaid,Failed Delivery
23,Kitchen,Table,Mid Range,True,Digital Wallet,425.14,63.09,39.88,11,2.6,Prepaid,On Going
1321,Dining Room,Seating,Mid Range,True,Digital Wallet,1832.04,0.0,60.96,10,3.4,Prepaid,On Going
1097,Living Room,Storage,Affordable,False,Cash,1118.69,112.93,0.0,7,1.4,Postpaid,Failed Delivery
1924,Dining Room,Storage,Premium,True,Digital Wallet,1569.01,53.67,165.26,8,4.3,Prepaid,On Going
627,Dining Room,Storage,Premium,True,Card,256.24,36.84,268.9,6,4.5,Prepaid,Delivered
678,Dining Room,Storage,Mid Range,True,Bank Transfer,1500.03,148.3,129.92,11,3.9,Prepaid,On Going
924,Living Room,Storage,Affordable,True,Card,1962.26,85.3,84.75,2,1.2,Prepaid,Failed Delivery
689,Kitchen,Table,Mid Range,True,Cash,2406.04,125.06,41.46,9,1.1,Postpaid,On Going
1655,Outdoor,Table,Mid Range,False,Digital Wallet,1730.18,95.65,0.0,6,4.4,Prepaid,On Going
1760,Bedroom,Sleeping,Mid Range,True,Card,2749.34,51.75,202.39,2,3.1,Prepaid,On Going
107,Outdoor,Table,Affordable,False,Cash,1489.42,108.65,0.0,11,3.1,Postpaid,Failed Delivery
1286,Kitchen,Table,Mid Range,False,Digital Wallet,1229.94,138.06,0.0,1,4.9,Prepaid,Failed Delivery
1009,Outdoor,Patio furniture,Affordable,True,Bank Transfer,883.27,76.31,173.16,2,4.2,Prepaid,On Going
1668,Office,Storage,Other,True,Digital Wallet,1338.6,89.59,33.61,13,4.7,Prepaid,Failed Delivery
953,Living Room,Seating,Affordable,False,Digital Wallet,422.79,40.32,0.0,1,2.8,Prepaid,On Going
498,Living Room,Seating,Affordable,False,Digital Wallet,2404.09,60.24,0.0,9,1.6,Prepaid,Delivered
1270,Office,Work,Mid Range,True,Bank Transfer,502.41,0.0,114.18,8,4.5,Prepaid,On Going
1678,Kitchen,Storage,Affordable,False,Card,880.07,0.0,0.0,13,1.5,Prepaid,Failed Delivery
1333,Office,Work,Premium,False,Card,742.22,138.24,0.0,3,1.2,Prepaid,Failed Delivery
1413,Bedroom,Storage,Premium,True,Card,2646.03,74.05,31.04,9,3.1,Prepaid,Failed Delivery
365,Living Room,Storage,Affordable,True,Digital Wallet,1960.13,89.51,173.45,4,3.1,Prepaid,Failed Delivery
150,Dining Room,Storage,Mid Range,False,Card,507.68,119.4,0.0,4,3.1,Prepaid,Failed Delivery
321,Outdoor,Seating,Premium,True,Cash,1435.25,113.1,163.45,1,1.8,Postpaid,Failed Delivery
394,Outdoor,Patio furniture,Other,True,Card,415.22,97.34,45.58,8,2.7,Prepaid,Delivered
771,Outdoor,Patio furniture,Mid Range,False,Digital Wallet,1300.83,76.13,0.0,11,3.1,Prepaid,Failed Delivery
1746,Living Room,Seating,Affordable,True,Cash,1244.7,0.0,64.63,6,3.1,Postpaid,Failed Delivery
1180,Outdoor,Seating,Affordable,False,Digital Wallet,1777.24,0.0,0.0,5,3.7,Prepaid,On Going
458,Bedroom,Storage,Affordable,True,Bank Transfer,2791.18,132.01,169.38,2,2.9,Prepaid,On Going
1894,Kitchen,Storage,Other,False,Card,1423.4,129.01,0.0,8,1.3,Prepaid,Failed Delivery
1368,Living Room,Storage,Affordable,True,Bank Transfer,1687.74,52.07,116.9,5,2.7,Prepaid,On Going
1099,Bedroom,Storage,Affordable,False,Card,1125.96,83.07,0.0,12,2.1,Prepaid,On Going
737,Kitchen,Table,Affordable,False,Digital Wallet,972.26,99.98,0.0,6,2.7,Prepaid,Failed Delivery
1426,Outdoor,Patio furniture,Mid Range,False,Bank Transfer,383.48,55.01,0.0,12,3.3,Prepaid,Failed Delivery
790,Dining Room,Seating,Premium,False,Cash,1087.53,72.21,0.0,1,2.8,Postpaid,Delivered
1715,Bedroom,Sleeping,Premium,False,Bank Transfer,2423.99,68.54,0.0,11,4.1,Prepaid,Delivered
938,Living Room,Storage,Affordable,False,Card,1777.3,73.85,0.0,14,5.0,Prepaid,Failed Delivery
1735,Bedroom,Sleeping,Mid Range,False,Card,894.11,79.83,0.0,12,2.6,Prepaid,On Going
1649,Dining Room,Seating,Affordable,False,Card,1461.65,116.22,0.0,5,4.9,Prepaid,On Going
1552,Bedroom,Storage,Mid Range,False,Cash,2113.32,109.1,0.0,10,1.5,Postpaid,Failed Delivery
1802,Office,Work,Affordable,True,Cash,341.62,89.13,33.29,4,3.6,Postpaid,Failed Delivery
206,Outdoor,Seating,Premium,True,Digital Wallet,262.15,36.33,205.98,10,4.7,Prepaid,Failed Delivery
664,Dining Room,Table,Premium,True,Card,1367.41,0.0,80.29,2,4.8,Prepaid,Delivered
905,Office,Work,Premium,False,Card,378.62,56.49,0.0,11,4.2,Prepaid,Delivered
1340,Bedroom,Sleeping,Mid Range,True,Cash,1772.49,132.59,232.06,5,1.8,Postpaid,On Going
756,Office,Storage,Mid Range,True,Digital Wallet,97.01,40.96,41.45,5,2.5,Prepaid,On Going
1777,Living Room,Seating,Mid Range,False,Cash,1115.65,66.4,0.0,13,2.0,Postpaid,On Going
3,Dining Room,Storage,Affordable,False,Digital Wallet,602.59,0.0,0.0,9,3.1,Prepaid,On Going
970,Dining Room,Storage,Affordable,False,Card,1275.43,139.18,0.0,5,1.1,Prepaid,Delivered
1615,Living Room,Storage,Affordable,True,Card,2046.56,86.3,284.52,1,1.9,Prepaid,On Going
1305,Dining Room,Storage,Premium,False,Digital Wallet,1384.59,0.0,0.0,11,4.1,Prepaid,Failed Delivery
1842,Kitchen,Table,Affordable,False,Bank Transfer,1602.35,142.66,0.0,10,2.7,Prepaid,Delivered
1152,Outdoor,Table,Affordable,True,Card,1017.2,106.29,153.95,12,3.1,Prepaid,On Going
217,Living Room,Seating,Premium,False,Digital Wallet,211.95,48.12,0.0,13,1.5,Prepaid,Failed Delivery
189,Office,Storage,Mid Range,True,Card,1239.36,107.83,201.68,2,1.2,Prepaid,Failed Delivery
434,Kitchen,Storage,Mid Range,True,Card,1814.49,0.0,57.88,2,2.4,Prepaid,On Going
1630,Living Room,Seating,Affordable,True,Card,2123.56,0.0,180.33,5,1.3,Prepaid,On Going
890,Bedroom,Storage,Mid Range,True,Digital Wallet,747.82,0.0,181.38,1,2.2,Prepaid,Failed Delivery
1189,Kitchen,Table,Affordable,False,Card,2280.51,110.35,0.0,8,3.2,Prepaid,Failed Delivery
1563,Outdoor,Seating,Mid Range,False,Bank Transfer,734.17,96.02,0.0,3,1.2,Prepaid,Failed Delivery
1264,Office,Work,Affordable,True,Card,1265.45,75.63,189.79,7,3.1,Prepaid,Failed Delivery
876,Dining Room,Storage,Affordable,False,Card,1748.31,139.51,0.0,2,1.7,Prepaid,On Going
529,Living Room,Seating,Mid Range,True,Digital Wallet,1710.19,145.05,27.16,10,3.1,Prepaid,Failed Delivery
661,Kitchen,Table,Affordable,True,Digital Wallet,889.27,138.91,243.4,11,3.8,Prepaid,On Going
374,Kitchen,Table,Mid Range,True,Digital Wallet,2087.81,126.92,38.79,9,3.2,Prepaid,On Going
168,Dining Room,Storage,Premium,False,Bank Transfer,705.21,111.65,0.0,10,4.3,Prepaid,Failed Delivery
1933,Bedroom,Storage,Affordable,False,Digital Wallet,2020.28,95.02,0.0,9,2.9,Prepaid,Delivered
844,Bedroom,Storage,Mid Range,False,Cash,261.41,36.11,0.0,3,4.2,Postpaid,On Going
1751,Outdoor,Seating,Premium,True,Card,894.76,57.63,28.25,2,1.5,Prepaid,Failed Delivery
398,Bedroom,Storage,Affordable,True,Digital Wallet,193.79,77.77,172.61,9,2.4,Prepaid,On Going
1932,Bedroom,Sleeping,Affordable,False,Digital Wallet,720.04,58.38,0.0,10,2.7,Prepaid,On Going
289,Kitchen,Storage,Premium,True,Digital Wallet,2171.67,106.75,192.1,10,3.3,Prepaid,On Going
252,Office,Work,Affordable,True,Bank Transfer,91.45,50.77,254.1,8,3.1,Prepaid,On Going
1127,Dining Room,Storage,Premium,True,Cash,734.13,0.0,49.36,13,3.1,Postpaid,Failed Delivery
633,Outdoor,Seating,Affordable,False,Digital Wallet,291.47,60.17,0.0,12,1.8,Prepaid,Failed Delivery
204,Kitchen,Storage,Premium,False,Bank Transfer,866.12,146.65,0.0,8,4.2,Prepaid,On Going
489,Office,Work,Premium,True,Bank Transfer,954.71,0.0,66.53,6,2.9,Prepaid,On Going
462,Dining Room,Storage,Mid Range,False,Digital Wallet,1746.87,68.64,0.0,9,1.1,Prepaid,Failed Delivery
1705,Outdoor,Seating,Mid Range,False,Card,444.75,96.88,0.0,1,4.3,Prepaid,Delivered
1580,Dining Room,Storage,Affordable,False,Digital Wallet,1265.44,91.05,0.0,13,1.6,Prepaid,Delivered
297,Outdoor,Table,Other,True,Digital Wallet,300.38,65.81,102.9,6,1.2,Prepaid,Failed Delivery
277,Office,Work,Premium,False,Card,210.61,88.55,0.0,2,3.1,Prepaid,On Going
864,Kitchen,Table,Mid Range,True,Card,1349.02,65.82,114.13,4,3.1,Prepaid,Failed Delivery
1034,Dining Room,Storage,Affordable,True,Digital Wallet,712.53,106.38,64.51,11,3.5,Prepaid,Delivered
852,Bedroom,Sleeping,Affordable,True,Card,2344.84,0.0,48.94,2,4.3,Prepaid,On Going
1529,Bedroom,Storage,Mid Range,True,Digital Wallet,651.99,0.0,243.8,3,4.4,Prepaid,Failed Delivery
1276,Dining Room,Storage,Mid Range,False,Bank Transfer,430.53,55.13,0.0,6,1.6,Prepaid,Failed Delivery
1513,Office,Work,Premium,True,Bank Transfer,1436.59,129.94,102.9,9,3.1,Prepaid,Delivered
1645,Dining Room,Seating,Affordable,False,Digital Wallet,1881.61,92.84,0.0,2,3.1,Prepaid,Failed Delivery
572,Kitchen,Storage,Premium,False,Digital Wallet,1045.11,0.0,0.0,1,3.1,Prepaid,On Going
1139,Outdoor,Table,Premium,True,Card,763.31,65.75,96.81,3,4.2,Prepaid,Delivered
1020,Office,Work,Premium,True,Cash,1188.22,85.27,37.97,6,4.9,Postpaid,Failed Delivery
296,Dining Room,Storage,Affordable,True,Digital Wallet,1012.62,0.0,81.91,2,1.5,Prepaid,Failed Delivery
431,Living Room,Seating,Premium,False,Bank Transfer,1731.82,0.0,0.0,11,4.7,Prepaid,Failed Delivery
441,Office,Work,Mid Range,False,Digital Wallet,826.67,75.59,0.0,4,1.3,Prepaid,Failed Delivery
1014,Kitchen,Table,Affordable,False,Digital Wallet,2231.36,137.5,0.0,8,2.6,Prepaid,Failed Delivery
1907,Kitchen,Storage,Affordable,True,Card,2208.14,73.85,97.91,6,3.1,Prepaid,On Going
1008,Living Room,Storage,Premium,False,Card,667.22,107.12,0.0,9,3.1,Prepaid,Delivered
988,Dining Room,Storage,Premium,True,Cash,1311.71,90.86,189.7,9,1.3,Postpaid,Delivered
1931,Kitchen,Table,Premium,True,Cash,688.0,73.85,100.6,13,3.1,Postpaid,Failed Delivery
879,Kitchen,Storage,Mid Range,False,Bank Transfer,1122.1,100.59,0.0,11,3.1,Prepaid,On Going
605,Dining Room,Seating,Mid Range,True,Digital Wallet,216.71,73.85,134.89,12,4.1,Prepaid,Delivered
1736,Kitchen,Storage,Affordable,True,Card,405.73,40.35,91.44,3,4.0,Prepaid,On Going
702,Office,Work,Affordable,True,Bank Transfer,588.31,0.0,36.57,4,1.9,Prepaid,Delivered
350,Kitchen,Storage,Other,True,Bank Transfer,2230.45,51.28,34.52,1,1.8,Prepaid,Delivered
860,Outdoor,Table,Premium,True,Digital Wallet,378.07,95.8,212.8,8,3.0,Prepaid,On Going
1300,Outdoor,Table,Mid Range,True,Card,794.78,136.69,242.23,13,2.6,Prepaid,On Going
1526,Office,Work,Premium,True,Card,1148.78,0.0,27.9,7,1.5,Prepaid,On Going
1823,Outdoor,Patio furniture,Affordable,True,Digital Wallet,1503.0,0.0,284.81,8,3.1,Prepaid,Failed Delivery
1908,Office,Work,Mid Range,True,Card,872.52,133.71,170.64,8,1.2,Prepaid,Failed Delivery
353,Outdoor,Table,Premium,False,Bank Transfer,1743.62,0.0,0.0,4,4.1,Prepaid,On Going
1216,Bedroom,Sleeping,Mid Range,False,Digital Wallet,1112.4,115.97,0.0,3,1.1,Prepaid,Failed Delivery
1418,Bedroom,Storage,Premium,False,Digital Wallet,1041.61,129.47,0.0,13,1.6,Prepaid,On Going
1372,Living Room,Seating,Mid Range,True,Cash,2050.06,58.64,57.29,3,3.8,Postpaid,Failed Delivery
593,Bedroom,Storage,Other,True,Card,2576.2,119.81,251.03,2,2.4,Prepaid,Failed Delivery
1869,Office,Storage,Other,False,Bank Transfer,959.99,58.58,0.0,1,3.1,Prepaid,Failed Delivery
1087,Office,Work,Premium,True,Cash,612.9,87.84,34.89,4,3.3,Postpaid,On Going
1084,Dining Room,Seating,Affordable,False,Digital Wallet,707.32,65.18,0.0,4,1.7,Prepaid,Delivered
1642,Dining Room,Table,Premium,False,Digital Wallet,932.32,0.0,0.0,2,3.8,Prepaid,Failed Delivery
87,Kitchen,Table,Premium,False,Card,462.5,95.89,0.0,11,3.8,Prepaid,Delivered
1461,Office,Work,Affordable,False,Card,1178.59,102.18,0.0,11,1.6,Prepaid,Delivered
1877,Office,Storage,Affordable,True,Digital Wallet,631.68,0.0,168.43,4,4.6,Prepaid,On Going
1749,Outdoor,Seating,Mid Range,True,Digital Wallet,1187.72,137.22,57.78,10,3.1,Prepaid,Failed Delivery
267,Kitchen,Storage,Mid Range,False,Cash,317.53,40.05,0.0,12,2.9,Postpaid,Failed Delivery
1687,Living Room,Storage,Premium,False,Cash,321.07,75.08,0.0,11,1.8,Postpaid,Failed Delivery
1609,Dining Room,Seating,Affordable,False,Card,1892.57,108.83,0.0,14,3.1,Prepaid,Failed Delivery
1635,Office,Work,Affordable,False,Card,1396.36,89.35,0.0,10,1.3,Prepaid,On Going
326,Bedroom,Storage,Mid Range,True,Cash,2956.91,0.0,56.16,12,1.1,Postpaid,Delivered
1229,Kitchen,Table,Other,False,Cash,1375.43,0.0,0.0,11,3.1,Postpaid,Delivered
1201,Bedroom,Sleeping,Premium,True,Digital Wallet,339.53,65.27,195.53,12,2.6,Prepaid,Delivered
1626,Kitchen,Storage,Affordable,True,Digital Wallet,2444.39,134.38,32.87,7,3.1,Prepaid,Failed Delivery
999,Dining Room,Seating,Mid Range,False,Card,696.3,0.0,0.0,9,3.3,Prepaid,On Going
1896,Dining Room,Seating,Mid Range,False,Cash,684.44,91.93,0.0,9,1.4,Postpaid,Delivered
436,Living Room,Table,Mid Range,True,Card,1068.87,75.07,255.99,9,3.8,Prepaid,Failed Delivery
124,Bedroom,Storage,Mid Range,True,Card,1397.61,102.27,137.29,5,4.1,Prepaid,Failed Delivery
1303,Office,Work,Premium,True,Bank Transfer,1155.53,108.96,200.56,12,2.4,Prepaid,Failed Delivery
838,Living Room,Seating,Affordable,True,Digital Wallet,2427.16,131.74,288.83,2,3.5,Prepaid,Failed Delivery
874,Outdoor,Seating,Affordable,False,Cash,1418.56,0.0,0.0,8,2.4,Postpaid,Failed Delivery
1002,Dining Room,Table,Mid Range,True,Bank Transfer,739.94,83.66,26.84,6,4.6,Prepaid,Failed Delivery
1695,Bedroom,Sleeping,Mid Range,True,Digital Wallet,2590.55,0.0,32.73,6,4.4,Prepaid,On Going
84,Dining Room,Seating,Affordable,True,Digital Wallet,1518.86,59.84,174.95,5,1.2,Prepaid,Delivered
1207,Kitchen,Table,Mid Range,False,Card,1660.89,0.0,0.0,6,3.1,Prepaid,Failed Delivery
731,Office,Work,Premium,False,Digital Wallet,694.16,99.75,0.0,7,3.1,Prepaid,On Going
1394,Living Room,Storage,Affordable,False,Card,1858.86,118.99,0.0,14,4.2,Prepaid,Failed Delivery
663,Outdoor,Seating,Premium,False,Card,1733.68,117.31,0.0,13,4.9,Prepaid,Failed Delivery
1218,Outdoor,Seating,Affordable,True,Cash,1408.32,111.04,44.67,2,3.1,Postpaid,Delivered
288,Kitchen,Storage,Affordable,False,Bank Transfer,791.12,67.54,0.0,12,1.5,Prepaid,On Going
669,Living Room,Table,Premium,True,Digital Wallet,1688.31,63.78,295.45,13,2.0,Prepaid,Delivered
1724,Bedroom,Storage,Mid Range,False,Digital Wallet,609.14,70.64,0.0,4,4.4,Prepaid,Delivered
1273,Bedroom,Sleeping,Affordable,True,Digital Wallet,1793.77,0.0,102.9,12,4.2,Prepaid,Failed Delivery
620,Office,Work,Other,False,Digital Wallet,284.87,38.14,0.0,8,4.5,Prepaid,Failed Delivery
947,Outdoor,Seating,Premium,False,Digital Wallet,1050.62,137.59,0.0,2,3.1,Prepaid,Failed Delivery
1042,Living Room,Table,Premium,False,Digital Wallet,1488.33,88.55,0.0,6,3.1,Prepaid,On Going
793,Dining Room,Seating,Affordable,True,Cash,1672.98,0.0,48.08,13,3.0,Postpaid,Delivered
1123,Kitchen,Table,Affordable,False,Cash,1264.17,104.66,0.0,9,2.2,Postpaid,On Going
412,Living Room,Table,Affordable,False,Digital Wallet,575.69,0.0,0.0,8,1.4,Prepaid,Delivered
504,Bedroom,Storage,Affordable,True,Digital Wallet,443.36,86.32,155.61,2,3.1,Prepaid,Failed Delivery
1608,Bedroom,Storage,Affordable,True,Card,1031.59,108.87,25.09,12,1.1,Prepaid,On Going
241,Kitchen,Table,Mid Range,True,Cash,2477.51,0.0,187.48,1,2.4,Postpaid,Failed Delivery
830,Dining Room,Storage,Affordable,True,Card,256.97,57.17,62.47,13,3.1,Prepaid,Failed Delivery
1930,Kitchen,Storage,Premium,False,Digital Wallet,1888.48,73.85,0.0,11,4.2,Prepaid,Failed Delivery
514,Bedroom,Storage,Affordable,True,Digital Wallet,2671.93,147.5,28.43,13,2.8,Prepaid,Failed Delivery
1314,Living Room,Table,Affordable,False,Card,409.71,80.53,0.0,13,1.4,Prepaid,On Going
1380,Kitchen,Table,Premium,False,Card,1097.57,0.0,0.0,13,4.6,Prepaid,Failed Delivery
733,Bedroom,Storage,Affordable,False,Digital Wallet,710.44,80.27,0.0,4,5.0,Prepaid,Failed Delivery
454,Kitchen,Storage,Premium,True,Bank Transfer,2002.42,0.0,233.89,8,3.3,Prepaid,Failed Delivery
56,Outdoor,Seating,Premium,False,Digital Wallet,1317.06,123.38,0.0,10,3.2,Prepaid,Failed Delivery
1721,Dining Room,Table,Mid Range,False,Digital Wallet,143.8,43.32,0.0,12,1.8,Prepaid,Failed Delivery
1012,Office,Work,Affordable,True,Digital Wallet,1121.66,0.0,48.77,14,1.9,Prepaid,On Going
1147,Bedroom,Sleeping,Mid Range,False,Digital Wallet,1280.78,0.0,0.0,8,1.8,Prepaid,Failed Delivery
780,Outdoor,Table,Affordable,False,Card,1799.08,144.1,0.0,7,4.9,Prepaid,On Going
1101,Dining Room,Storage,Affordable,True,Digital Wallet,1454.85,65.44,80.37,14,3.5,Prepaid,On Going
1115,Outdoor,Seating,Affordable,False,Cash,687.37,97.38,0.0,13,1.9,Postpaid,Failed Delivery
929,Office,Storage,Mid Range,False,Card,605.09,0.0,0.0,12,1.8,Prepaid,Failed Delivery
1595,Living Room,Seating,Affordable,True,Bank Transfer,1013.35,0.0,40.17,7,4.3,Prepaid,Delivered
951,Dining Room,Storage,Mid Range,True,Bank Transfer,1014.79,56.09,75.81,9,3.0,Prepaid,Failed Delivery
198,Office,Work,Premium,True,Card,878.59,105.73,186.43,4,1.3,Prepaid,Delivered
1709,Bedroom,Storage,Affordable,True,Card,2510.29,86.54,173.05,13,2.4,Prepaid,Failed Delivery
1430,Outdoor,Patio furniture,Premium,False,Cash,925.22,129.21,0.0,9,4.3,Postpaid,On Going
177,Bedroom,Sleeping,Mid Range,True,Card,294.68,92.89,52.62,7,2.9,Prepaid,On Going
1833,Office,Work,Mid Range,False,Digital Wallet,1379.32,0.0,0.0,9,2.6,Prepaid,On Going
397,Outdoor,Seating,Affordable,True,Digital Wallet,1165.06,85.97,54.34,5,2.4,Prepaid,Failed Delivery
